question,answer,source,focus_area
What is (are) Guillain-Barre syndrome ?,"Guillain-Barr syndrome is a rare disorder in which the body's immune system attacks part of the peripheral nervous system. Symptoms include muscle weakness, numbness, and tingling sensations, which can increase in intensity until the muscles cannot be used at all. Usually Guillain-Barr syndrome occurs a few days or weeks after symptoms of a viral infection. Occasionally, surgery or vaccinations will trigger the syndrome. It remains unclear why only some people develop Guillain-Barr syndrome but there may be a genetic predisposition in some cases. Diagnosed patients should be admitted to a hospital for early treatment. There is no cure for Guillain-Barr syndrome, but treatments such as plasma exchange (plasmapheresis) and high dose immunoglobulins may reduce the severity and duration of symptoms. Recovery can take as little as a few days to as long as a few years. About 30% of those with Guillain-Barr syndrome have residual weakness. A small number may suffer a relapse many years after the initial attack.",GARD,Guillain-Barre syndrome
What is (are) Wallenberg's Syndrome ?,"Wallenbergs syndrome is a neurological condition caused by a stroke in the vertebral or posterior inferior cerebellar artery of the brain stem. Symptoms include difficulties with swallowing, hoarseness, dizziness, nausea and vomiting, rapid involuntary movements of the eyes (nystagmus), and problems with balance and gait coordination. Some individuals will experience a lack of pain and temperature sensation on only one side of the face, or a pattern of symptoms on opposite sides of the body  such as paralysis or numbness in the right side of the face, with weak or numb limbs on the left side. Uncontrollable hiccups may also occur, and some individuals will lose their sense of taste on one side of the tongue, while preserving taste sensations on the other side. Some people with Wallenbergs syndrome report that the world seems to be tilted in an unsettling way, which makes it difficult to keep their balance when they walk.",NINDS,Wallenberg's Syndrome
How many people are affected by familial cylindromatosis ?,Familial cylindromatosis is a rare disorder; its prevalence is unknown.,GHR,familial cylindromatosis
What are the complications of Hemochromatosis ?,"Without treatment, iron may build up in the organs and cause complications, including
                
- cirrhosis, or scarring of liver tissue  - diabetes  - irregular heart rhythms or weakening of the heart muscle  - arthritis  - erectile dysfunction
                
The complication most often associated with hemochromatosis is liver damage. Iron buildup in the liver causes cirrhosis, which increases the chance of developing liver cancer.
                
For some people, complications may be the first sign of hemochromatosis. However, not everyone with hemochromatosis will develop complications.",NIDDK,Hemochromatosis
What are the treatments for transthyretin amyloidosis ?,These resources address the diagnosis or management of transthyretin amyloidosis:  - Boston University: Amyloid Treatment & Research Program  - Gene Review: Gene Review: Familial Transthyretin Amyloidosis  - Genetic Testing Registry: Amyloidogenic transthyretin amyloidosis  - MedlinePlus Encyclopedia: Autonomic neuropathy   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,GHR,transthyretin amyloidosis
What is (are) Pierson syndrome ?,"Pierson syndrome is a very rare condition that mainly affects the kidneys and eyes. Signs and symptoms include congenital nephrotic syndrome and distinct ocular (eye) abnormalities, including microcoria (small pupils that are not responsive to light). Most affected children have early-onset, chronic renal failure; neurodevelopmental problems; and blindness. Hypotonia (poor muscle tone) and movement disorders have also been reported. Pierson syndrome is caused by changes (mutations) in the LAMB2 gene and is inherited in an autosomal recessive manner. The long-term outlook is poor; affected infants may not survive past the first weeks or months of life.",GARD,Pierson syndrome
What are the complications of Lupus Nephritis ?,"In many cases, treatment is effective in completely or partially controlling lupus nephritis, resulting in few, if any, further complications. However, even with treatment, 10 to 30 percent of people with lupus nephritis develop kidney failure, described as end-stage renal disease when treated with blood-filtering treatments called dialysis or a kidney transplant.3 Scientists cannot predict who will or will not respond to treatment. The most severe form of lupus nephritis is called diffuse proliferative nephritis. With this type of illness, the kidneys are inflamed, many white blood cells invade the kidneys, and kidney cells increase in number, which can cause such severe damage that scars form in the kidneys. Scars are difficult to treat, and kidney function often declines as more scars form. People with suspected lupus nephritis should get diagnosed and treated as early as possible to prevent such chronic, or long lasting, damage.
                
People with lupus nephritis are at a high risk for cancer, primarily B-cell lymphomaa type of cancer that begins in the cells of the immune system. They are also at a high risk for heart and blood vessel problems.",NIDDK,Lupus Nephritis
What are the treatments for tetra-amelia syndrome ?,"These resources address the diagnosis or management of tetra-amelia syndrome:  - Gene Review: Gene Review: Tetra-Amelia Syndrome  - Genetic Testing Registry: Tetraamelia, autosomal recessive   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care",GHR,tetra-amelia syndrome
what research (or clinical trials) is being done for Machado-Joseph Disease ?,"The National Institute of Neurological Disorders and Stroke (NINDS) conducts MJD research in its laboratories at the National Institutes of Health (NIH) and also supports MJD research through grants to major medical institutions across the country. Ongoing research includes studies to better understand the genetic, molecular, and cellular mechanisms that underlie inherited neurodegenerative diseases such as MJD. Other research areas include the development of novel therapies to treat the symptoms of MJD, efforts to identify diagnostic markers and to improve current diagnostic procedures for the disease, and population studies to identify affected families.",NINDS,Machado-Joseph Disease
Is myoclonic epilepsy myopathy sensory ataxia inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.",GHR,myoclonic epilepsy myopathy sensory ataxia
What is (are) Menkes Disease ?,"Menkes disease is caused by a defective gene named ATPTA1 that regulates the metabolism of copper in the body. The disease primarily affects male infants. Copper accumulates at abnormally low levels in the liver and brain, but at higher than normal levels in the kidney and intestinal lining. Affected infants may be born prematurely, but appear healthy at birth and develop normally for 6 to 8 weeks. Then symptoms begin, including floppy muscle tone, seizures, and failure to thrive. Menkes disease is also characterized by subnormal body temperature and strikingly peculiar hair, which is kinky, colorless or steel-colored, and breaks easily. There is often extensive neurodegeneration in the gray matter of the brain. Arteries in the brain may be twisted with frayed and split inner walls. This can lead to rupture or blockage of the arteries. Weakened bones (osteoporosis) may result in fractures.",NINDS,Menkes Disease
What are the genetic changes related to hereditary multiple osteochondromas ?,"Mutations in the EXT1 and EXT2 genes cause hereditary multiple osteochondromas. The EXT1 gene and the EXT2 gene provide instructions for producing the proteins exostosin-1 and exostosin-2, respectively. The two exostosin proteins bind together and form a complex found in a cell structure called the Golgi apparatus, which modifies newly produced enzymes and other proteins. In the Golgi apparatus, the exostosin-1 and exostosin-2 complex modifies a protein called heparan sulfate so it can be used by the cell.  When there is a mutation in exostosin-1 or exostosin-2, heparan sulfate cannot be processed correctly and is nonfunctional. Although heparan sulfate is involved in many bodily processes, it is unclear how the lack of this protein contributes to the development of osteochondromas.  If the condition is caused by a mutation in the EXT1 gene it is called hereditary multiple osteochondromas type 1. A mutation in the EXT2 gene causes hereditary multiple osteochondromas type 2. While both type 1 and type 2 involve multiple osteochondromas, mutations in the EXT1 gene likely account for 55 to 75 percent of all cases of hereditary multiple osteochondromas, and the severity of symptoms associated with osteochondromas seems to be greater in type 1.  Researchers estimate that about 15 percent of people with hereditary multiple osteochondromas have no mutation in either the EXT1 or the EXT2 gene. It is not known why multiple osteochondromas form in these individuals.",GHR,hereditary multiple osteochondromas
How many people are affected by Acquired Cystic Kidney Disease ?,"Acquired cystic kidney disease becomes more common the longer a person has CKD.
                
- About 7 to 22 percent of people with CKD already have acquired cystic kidney disease before starting dialysis treatments.  - Almost 60 percent of people on dialysis for 2 to 4 years develop acquired cystic kidney disease.1  - About 90 percent of people on dialysis for 8 years develop acquired cystic kidney disease.1",NIDDK,Acquired Cystic Kidney Disease
What are the genetic changes related to hyperlysinemia ?,"Mutations in the AASS gene cause hyperlysinemia. The AASS gene provides instructions for making an enzyme called aminoadipic semialdehyde synthase. This enzyme performs two functions in the breakdown of lysine. First, the enzyme breaks down lysine to a molecule called saccharopine. It then breaks down saccharopine to a molecule called alpha-aminoadipate semialdehyde.  Mutations in the AASS gene that impair the breakdown of lysine result in elevated levels of lysine in the blood and urine. These increased levels of lysine do not appear to have any negative effects on the body.  When mutations in the AASS gene impair the breakdown of saccharopine, this molecule builds up in blood and urine. This buildup is sometimes referred to as saccharopinuria, which is considered to be a variant of hyperlysinemia. It is unclear if saccharopinuria causes any symptoms.",GHR,hyperlysinemia
What are the genetic changes related to Liddle syndrome ?,"Liddle syndrome is caused by mutations in the SCNN1B or SCNN1G gene. Each of these genes provides instructions for making a piece (subunit) of a protein complex called the epithelial sodium channel (ENaC). These channels are found at the surface of certain cells called epithelial cells in many tissues of the body, including the kidneys, where the channels transport sodium into cells.  In the kidney, ENaC channels open in response to signals that sodium levels in the blood are too low, which allows sodium to flow into cells. From the kidney cells, this sodium is returned to the bloodstream (a process called reabsorption) rather than being removed from the body in urine.  Mutations in the SCNN1B or SCNN1G gene change the structure of the respective ENaC subunit. The changes alter a region of the subunit that is involved in signaling for its breakdown (degradation) when it is no longer needed. As a result of the mutations, the subunit proteins are not degraded, and more ENaC channels remain at the cell surface. The increase in channels at the cell surface abnormally increases the reabsorption of sodium (followed by water), which leads to hypertension. Reabsorption of sodium into the blood is linked with removal of potassium from the blood, so excess sodium reabsorption leads to hypokalemia.",GHR,Liddle syndrome
What is (are) Stillbirth ?,"If a woman loses a pregnancy after she's past her 20th week, it's called a stillbirth. Stillbirths are due to natural causes. They can happen before delivery or during delivery. Causes include:       - Problems with the placenta, the organ that transports oxygen and nutrients to the fetus    - Genetic problems with the fetus    - Fetal infections    - Other physical problems in the fetus       In at least half of all cases, it is not possible to tell why the baby died.    If stillbirth happens before delivery, your health care provider may induce labor or perform a Cesarean section to deliver the fetus. In some cases, you can wait until you go into labor yourself. This usually happens within two weeks of stillbirth.    Counseling may help you cope with your grief. Later, if you do decide to try again, work closely with your health care provider to lower the risks. Many women who have a stillbirth go on to have healthy babies.    NIH: National Institute of Child Health and Human Development",MPlusHealthTopics,Stillbirth
Who is at risk for Smoking and the Digestive System? ?,"Smoking has been found to increase the risk of cancers of the3
                
- mouth  - esophagus  - stomach  - pancreas
                
3
                
,
                
4
                
,
                
5
                
- liver  - colon  - rectum
                
More information about the link between smoking and cancers of the digestive system can be found on the National Cancer Institute website at www.cancer.gov/cancertopics/tobacco/smoking.",NIDDK,Smoking and the Digestive System
What to do for What I need to know about Diarrhea ?,"To prevent dehydration when you have diarrhea, it is important to drink plenty of water, but you also need to drink fluids that contain sodium, chloride, and potassium.
                
- Adults should drink water, fruit juices, sports drinks, sodas without caffeine, and salty broths.  - Children should drink oral rehydration solutionsspecial drinks that contain salts and minerals to prevent dehydration. These drinks include Pedialyte, Naturalyte, Infalyte, and CeraLyte. These drinks are sold in most grocery stores and drugstores.
                
- bananas  - plain rice  - boiled potatoes  - toast  - crackers  - cooked carrots  - baked chicken without the skin or fat
                
If a certain food is the cause of diarrhea, try to avoid it.
                
- drinks with caffeine, such as coffee and cola  - high-fat or greasy foods, such as fried foods  - foods with a lot of fiber, such as citrus fruits  - sweet foods, such as cakes and cookies
                
During or after an episode of diarrhea, some people have trouble digesting lactose, the sugar in milk and milk products. However, you may be able to digest yogurt. Eating yogurt with active, live bacterial cultures may even help you feel better faster.
                
When babies have diarrhea, continue breastfeeding or formula feeding as usual.
                
After you have had diarrhea caused by a virus, problems digesting lactose may last up to 4 to 6 weeks. You may have diarrhea for a short time after you eat or drink milk or milk products.",NIDDK,What I need to know about Diarrhea
What is (are) Medicare and Continuing Care ?,"Medicare Part A is hospital insurance that helps cover inpatient care in hospitals. Part A also helps cover skilled nursing facility care for a limited period of time, hospice care, and home health care, if you meet certain conditions. Most people don't have to pay a monthly premium for Medicare Part A when they turn age 65 because they or a spouse paid Medicare taxes while they were working. If a person is hospitalized, Medicare helps pay for the following services. - Care - general nursing - Room - semiprivate room  - Hospital services - meals, most services and supplies Care - general nursing Room - semiprivate room Hospital services - meals, most services and supplies If a person is hospitalized, Medicare does NOT pay for the following services. - Care - private-duty nursing  - Room - private room (unless medically necessary) - Hospital services - television and telephone Care - private-duty nursing Room - private room (unless medically necessary) Hospital services - television and telephone For important information about Medicare Part A, visit http://www.medicare.gov to view or print copies of ""Your Medicare Benefits"" or ""Medicare & You."" (Under ""Search Tools,"" select ""Find a Medicare Publication."")",NIHSeniorHealth,Medicare and Continuing Care
What is (are) Oculodentodigital dysplasia ?,"Oculodentodigital dysplasia is a condition that affects many parts of the body, particularly the eyes (oculo-), teeth (dento-), and fingers (digital). The condition is caused by mutations in the GJA1 gene. Most cases are inherited in an autosomal dominant pattern. Some cases are caused by a new mutation in the gene. A small number of cases follow an autosomal recessive pattern of inheritance. Management is multidisciplinary and based on specific symptoms. Early diagnosis is critical for prevention and treatment.",GARD,Oculodentodigital dysplasia
What is (are) Acquired hemophilia ?,"Acquired hemophilia is a bleeding disorder that interferes with the body's blood clotting process. Although the condition can affect people of all ages, it generally occurs in older people (the median age of diagnosis is between 60 and 67 years). Signs and symptoms include prolonged bleeding, frequent nosebleeds, bruising throughout the body, solid swellings of congealed blood (hematomas), hematuria, and gastrointestinal or urologic bleeding. Acquired hemophilia occurs when the body's immune system attacks and disables a certain protein that helps the blood clot. About half of the cases are associated with other conditions, such as pregnancy, autoimmune disease, cancer, skin diseases, or allergic reactions to medications. Treatment is aimed at controlling bleeding episodes and addressing the underlying cause of the condition.",GARD,Acquired hemophilia
what types of infections does vancomycin-resistant enterococci cause?,"On this Page General Information What is vancomycin-resistant enterococci? What types of infections does vancomycin-resistant enterococci cause? Are certain people at risk of getting vancomycin-resistant enterococci? What is the treatment for vancomycin-resistant enterococci? How is vancomycin-resistant enterococci spread? How can patients prevent the spread of vancomycin-resistant enterococci? What should a patient do if they think they have vancomycin-resistant enterococci? Recommendations and Guidelines General Information For more images of this bacterium, search the Public Health Image Library What is vancomycin-resistant enterococci? Enteroccocci are bacteria that are normally present in the human intestines and in the female genital tract and are often found in the environment. These bacteria can sometimes cause infections. Vancomycin is an antibiotic that is used to treat some drug-resistant infections caused by enterococci. In some instances, enterococci have become resistant to this drug and thus are called vancomycin-resistant enterococci (VRE). Most VRE infections occur in hospitals. Top of page What types of infections does VRE cause? VRE can live in the human intestines and female genital tract without causing disease (often called colonization). However, sometimes it can cause infections of the urinary tract, the bloodstream, or of wounds associated with catheters or surgical procedures. Top of page Are certain people at risk of getting VRE? The following persons are at increased risk becoming infected with VRE: People who have been previously treated with the antibiotic vancomycin or other antibiotics for long periods of time. People who are hospitalized, particularly when they receive antibiotic treatment for long periods of time. People with weakened immune systems such as patients in intensive care units, or in cancer or transplant wards. People who have undergone surgical procedures such as abdominal or chest surgery. People with medical devices that stay in for some time such as urinary catheters or central intravenous (IV) catheters. People who are colonized with VRE. Top of page What is the treatment for VRE? People with colonized VRE (bacteria are present, but have no symptoms of an infection)  do not need treatment. Most VRE infections can be treated with antibiotics other than vancomycin. Laboratory testing of the VRE can determine which antibiotics will work. For people who get VRE infections in their bladder and have urinary catheters, removal of the catheter when it is no longer needed can also help get rid of the infection. Top of page How is VRE spread? VRE is often passed from person to person by the contaminated hands of caregivers. VRE can get onto a caregiver's hands after they have contact with other people with VRE or after contact with contaminated surfaces. VRE can also be spread directly to people after they touch surfaces that are contaminated with VRE. VRE is not spread through the air by coughing or sneezing. Top of page How can patients prevent the spread of VRE? If a patient or someone in their household has VRE, the following are some things they can do to prevent the spread of VRE: Keep their hands clean. Always wash their hands thoroughly after using the bathroom and before preparing food. Clean their hands after contact with persons who have VRE. Wash with soap and water (particularly when visibly soiled) or use alcohol-based hand rubs. Frequently clean areas of the home, such as bathrooms, that may become contaminated with VRE. Wear gloves if hands may come in contact with body fluids that may contain VRE, such as stool or bandages from infected wounds. Always wash their hands after removing gloves. If someone has VRE, be sure to tell healthcare providers so that they are aware of the infection. Healthcare facilities use special precautions to help prevent the spread of VRE to others. Top of page What should patients do if they think they have vancomycin-resistant enterococci (VRE)? Anyone who thinks they have VRE must talk with their healthcare provider. Top of page Recommendations and Guidelines For more information about prevention and treatment of HAIs, see the resources below: Siegel JD, Rhinehart E, Jackson M, et al. The Healthcare Infection Control Practices Advisory Committee (HICPAC). Management of Multidrug-Resistant Organisms In Healthcare Settings, 2006",CDC,
What is (are) Autosomal recessive polycystic kidney disease ?,"Autosomal recessive polycystic kidney disease (ARPKD) is a genetic condition that is characterized by the growth of cysts in the kidneys (which lead to kidney failure) and liver and problems in other organs, such as the blood vessels in the brain and heart. The severity varies from person to person. The signs of ARPKD frequently begin before birth, so it is often called infantile PKD but some people do not develop symptoms until later in childhood or even adulthood. Children born with ARPKD often, but not always, develop kidney failure before reaching adulthood; babies with the worst cases die hours or days after birth due to respiratory difficulties or respiratory failure. Liver scarring occurs in all patients. The condition is caused by a mutation in the PKHD1 gene and is inherited in an autosomal recessive manner. Some symptoms of the condition may be controlled by medicines, antibiotics, healthy diet, and growth hormones.",GARD,Autosomal recessive polycystic kidney disease
What are the treatments for ocular albinism ?,"These resources address the diagnosis or management of ocular albinism:  - Gene Review: Gene Review: Ocular Albinism, X-Linked  - Genetic Testing Registry: Albinism ocular late onset sensorineural deafness  - Genetic Testing Registry: Albinism, ocular, with sensorineural deafness  - Genetic Testing Registry: Ocular albinism, type I  - MedlinePlus Encyclopedia: Albinism   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care",GHR,ocular albinism
Is diastrophic dysplasia inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.",GHR,diastrophic dysplasia
What is (are) Long QT syndrome ?,"Long QT syndrome is a disorder of the hearts electrical activity that can cause sudden, uncontrollable, and irregular heartbeats (arrhythmia), which may lead to sudden death. Long QT syndrome can be detected by electrocardiogram (EKG). It can be caused by a variety of different gene mutations (changes). It can also be acquired (noninherited) and may be brought on by certain medicines and other medical conditions.",GARD,Long QT syndrome
